iter	Passed	Remaining
0	0	56
1	1	58
2	1	59
3	2	54
4	2	54
5	3	52
6	3	51
7	4	50
8	4	49
9	5	48
10	5	47
11	6	47
12	7	47
13	7	46
14	8	45
15	8	44
16	8	43
17	9	42
18	9	42
19	10	41
20	10	40
21	11	39
22	11	39
23	12	38
24	12	37
25	13	37
26	13	36
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	16	32
33	16	32
34	16	31
35	17	30
36	17	30
37	18	29
38	18	29
39	19	28
40	19	27
41	19	27
42	20	26
43	20	26
44	20	25
45	21	25
46	21	24
47	22	24
48	22	23
49	22	22
50	23	22
51	23	21
52	24	21
53	24	21
54	25	20
55	25	20
56	25	19
57	26	19
58	26	18
59	27	18
60	27	17
61	28	17
62	28	16
63	29	16
64	29	15
65	30	15
66	30	15
67	31	14
68	31	14
69	31	13
70	32	13
71	32	12
72	33	12
73	33	11
74	34	11
75	34	10
76	34	10
77	35	9
78	35	9
79	36	9
80	36	8
81	37	8
82	37	7
83	37	7
84	38	6
85	38	6
86	39	5
87	39	5
88	40	4
89	40	4
90	41	4
91	41	3
92	41	3
93	42	2
94	42	2
95	43	1
96	43	1
97	44	0
98	44	0
99	44	0
